ID,Sample,Treat,SampleType,TimePoint,Year,Position,Type
X1,C11L12021A1,11,degraded,T0,2021,E2,degradedT0
X2,C11L12022A1,11,degraded,T1,2022,E2,degradedT1
X3,C11L12023A1,11,degraded,T2,2023,E2,degradedT2
X4,C11L12024A1,11,degraded,T3,2024,E2,degradedT3
X5,C12L12021A1,12,undegraded,T0,2021,E1,undegradedT0
X6,C12L12022A1,12,undegraded,T1,2022,E1,undegradedT1
X7,C12L12023A1,12,undegraded,T2,2023,E1,undegradedT2
X8,C12L12024A1,12,undegraded,T3,2024,E1,undegradedT3
X9,C17L12021A1,17,undegraded,T0,2021,E5,undegradedT0
X10,C17L12022A1,17,undegraded,T1,2022,E5,undegradedT1
X11,C17L12023A1,17,undegraded,T2,2023,E5,undegradedT2
X12,C17L12024A1,17,undegraded,T3,2024,E5,undegradedT3
X13,C18L12021A1,18,degraded,T0,2021,E6,degradedT0
X14,C18L12022A1,18,degraded,T1,2022,E6,degradedT1
X15,C18L12023A1,18,degraded,T2,2023,E6,degradedT2
X16,C18L12024A1,18,degraded,T3,2024,E6,degradedT3
X17,C22L12021A1,22,degraded,T0,2021,E3,degradedT0
X18,C22L12022A1,22,degraded,T1,2022,E3,degradedT1
X19,C22L12023A1,22,degraded,T2,2023,E3,degradedT2
X20,C22L12024A1,22,degraded,T3,2024,E3,degradedT3
X21,C23L12021A1,23,undegraded,T0,2021,E2,undegradedT0
X22,C23L12022A1,23,undegraded,T1,2022,E2,undegradedT1
X23,C23L12023A1,23,undegraded,T2,2023,E2,undegradedT2
X24,C23L12024A1,23,undegraded,T3,2024,E2,undegradedT3
X25,C28L12021A1,28,degraded,T0,2021,E4,degradedT0
X26,C28L12022A1,28,degraded,T1,2022,E4,degradedT1
X27,C28L12023A1,28,degraded,T2,2023,E4,degradedT2
X28,C28L12024A1,28,degraded,T3,2024,E4,degradedT3
X29,C30L12021A1,30,undegraded,T0,2021,E6,undegradedT0
X30,C30L12022A1,30,undegraded,T1,2022,E6,undegradedT1
X31,C30L12023A1,30,undegraded,T2,2023,E6,undegradedT2
X32,C30L12024A1,30,undegraded,T3,2024,E6,undegradedT3
X33,C34L12021A1,34,undegraded,T0,2021,E3,undegradedT0
X34,C34L12022A1,34,undegraded,T1,2022,E3,undegradedT1
X35,C34L12023A1,34,undegraded,T2,2023,E3,undegradedT2
X36,C34L12024A1,34,undegraded,T3,2024,E3,undegradedT3
X37,C36L12021A1,36,degraded,T0,2021,E1,degradedT0
X38,C36L12022A1,36,degraded,T1,2022,E1,degradedT1
X39,C36L12023A1,36,degraded,T2,2023,E1,degradedT2
X40,C36L12024A1,36,degraded,T3,2024,E1,degradedT3
X41,C4L12021A1,4,undegraded,T0,2021,E4,undegradedT0
X42,C4L12022A1,4,undegraded,T1,2022,E4,undegradedT1
X43,C4L12023A1,4,undegraded,T2,2023,E4,undegradedT2
X44,C4L12024A1,4,undegraded,T3,2024,E4,undegradedT3
X45,C5L12021A1,5,degraded,T0,2021,E5,degradedT0
X46,C5L12022A1,5,degraded,T1,2022,E5,degradedT1
X47,C5L12023A1,5,degraded,T2,2023,E5,degradedT2
X48,C5L12024A1,5,degraded,T3,2024,E5,degradedT3
